"countries","1960","2016"
AT - Austria,7047539,8731471
BE - Belgium,9153489,11338476
BG - Bulgaria,7867374,7127822
HR - Croatia,4140181,4172441
CY - Cyprus,572783,851561
CZ - Czech Republic,9602006,10566332
DK - Denmark,4579603,5728010
EE - Estonia,1211537,1315790
FI - Finland,4429634,5495303
FR - France,45684227,66892205
DE - Germany,55607705,82487842
GR - Greece,8331725,10770521
HU - Hungary,9983967,9814023
IE - Ireland,2828600,4749777
IT - Italy,50199700,60627498
LV - Latvia,2120979,1959537
LT - Lithuania,2778550,2868231
LU - Luxembourg,313970,583458
MT - Malta,326550,437418
NL - Netherlands,11486631,17030314
PL - Poland,29637450,37970087
PT - Portugal,8857716,10325452
RO - Romania,18406905,19699312
SK - Slovakia,4068095,5430798
SI - Slovenia,1584720,2065042
ES - Spain,30455000,46484533
SE - Sweden,7484656,9923085
UK - United Kingdom,52400000,65595565
IS - Iceland,175574,335439
NO - Norway,3581239,5236151
CH - Switzerland,5327827,8372413
